EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/08 00:05:02,,,
,,,
"V1: 0.500000, 1.250000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
0,2.521544,0.708445,2.671728
1,2.524626,0.707011,2.673162
2,2.525214,0.707011,2.673162
3,2.52148,0.708445,2.671728
4,2.524554,0.707011,2.671728
5,2.524645,0.707011,2.671728
6,2.521358,0.705577,2.671728
7,2.524507,0.708445,2.671728
8,2.524846,0.707011,2.673162
9,2.521535,0.708445,2.671728
10,2.524302,0.708445,2.671728
11,2.524431,0.707011,2.671728
12,2.521607,0.707011,2.673162
13,2.523846,0.707011,2.671728
14,2.525072,0.707011,2.671728
15,2.5223,0.708445,2.671728
16,2.52372,0.707011,2.673162
17,2.524589,0.708445,2.670294
18,2.522114,0.708445,2.673162
19,2.523368,0.70988,2.671728
20,2.52459,0.707011,2.673162
21,2.522252,0.702709,2.671728
22,2.523135,0.707011,2.671728
23,2.524559,0.70988,2.671728
24,2.522661,0.70988,2.674597
25,2.522641,0.708445,2.671728
26,2.524182,0.705577,2.671728
27,2.52259,0.704143,2.671728
28,2.52245,0.705577,2.670294
29,2.524646,0.708445,2.671728
30,2.523039,0.708445,2.673162
31,2.522489,0.707011,2.671728
32,2.524675,0.704143,2.671728
33,2.523496,0.705577,2.671728
34,2.522341,0.705577,2.676031
35,2.524951,0.70988,2.671728
36,2.523835,0.708445,2.674597
37,2.522297,0.708445,2.670294
38,2.524873,0.705577,2.673162
39,2.524088,0.707011,2.671728
40,2.522098,0.708445,2.673162
41,2.524846,0.707011,2.673162
42,2.52445,0.707011,2.671728
43,2.522092,0.708445,2.673162
44,2.524996,0.708445,2.673162
45,2.524188,0.704143,2.673162
46,2.52167,0.707011,2.673162
47,2.524651,0.707011,2.673162
48,2.524519,0.707011,2.674597
49,2.521277,0.705577,2.673162
50,2.524896,0.707011,2.671728
51,2.524907,0.707011,2.673162
52,2.521027,0.707011,2.673162
53,2.524585,0.705577,2.673162
54,2.524775,0.705577,2.673162
