EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 5.00000763,,,
Number of sample: 120960/120960,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/15 10:27:09,,,
,,,
"V1: 1.000000, 1.625000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
0,3.261168,2.495334,3.304166
1,3.250694,2.664558,3.281221
2,3.246111,2.66886,3.276918
3,3.242583,2.667426,3.271182
4,3.23968,2.665992,3.269748
5,3.237575,2.667426,3.26688
6,3.235673,2.676031,3.265446
7,3.233459,2.665992,3.262578
8,3.231632,2.638744,3.262578
9,3.229266,2.594287,3.258275
10,3.226863,2.564171,3.258275
11,3.225019,2.544093,3.256841
12,3.223501,2.555566,3.255407
13,3.222162,2.558434,3.252539
14,3.220469,2.552698,3.252539
15,3.220002,2.571341,3.249671
16,3.218488,2.572775,3.249671
17,3.216841,2.559869,3.248236
18,3.215573,2.559869,3.245368
19,3.214022,2.536923,3.245368
20,3.212911,2.526884,3.243934
21,3.211827,2.552698,3.2425
22,3.210977,2.551264,3.241066
23,3.209872,2.567039,3.239632
24,3.208539,2.572775,3.239632
25,3.207556,2.582814,3.238198
26,3.206481,2.584248,3.23533
27,3.20507,2.585682,3.23533
28,3.204162,2.594287,3.232461
29,3.203012,2.595721,3.232461
30,3.20195,2.595721,3.231027
31,3.200484,2.587116,3.229593
32,3.199309,2.582814,3.228159
33,3.198123,2.565605,3.226725
34,3.195725,2.508241,3.226725
35,3.195449,2.562737,3.225291
36,3.194113,2.561303,3.223857
37,3.193111,2.559869,3.223857
38,3.191981,2.562737,3.222423
39,3.190573,2.499636,3.220989
40,3.190063,2.568473,3.21812
41,3.189293,2.575644,3.220989
42,3.188288,2.591419,3.21812
43,3.187256,2.589985,3.216686
44,3.186366,2.598589,3.216686
45,3.185455,2.602891,3.215252
46,3.184223,2.594287,3.213818
47,3.182792,2.584248,3.213818
48,3.181738,2.58138,3.21095
49,3.180762,2.578512,3.209516
50,3.179736,2.572775,3.208082
51,3.178188,2.554132,3.209516
52,3.176594,2.519714,3.206648
53,3.175105,2.512543,3.206648
54,3.174188,2.519714,3.203779
