EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:27:46"

"V1: 1.000000, 1.593750"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
0,3.197717,2.658821,3.225291
1,3.191620,2.717619,3.213818
2,3.188678,2.723356,3.210950
3,3.186318,2.729092,3.209516
4,3.184879,2.729092,3.208082
5,3.183157,2.726224,3.208082
6,3.181754,2.729092,3.209516
7,3.180334,2.727658,3.203779
8,3.178863,2.729092,3.200911
9,3.177586,2.727658,3.200911
10,3.176775,2.724790,3.200911
11,3.175533,2.727658,3.199477
12,3.174587,2.727658,3.198043
13,3.173211,2.727658,3.196609
14,3.171935,2.727658,3.195175
15,3.171336,2.726224,3.196609
16,3.170294,2.727658,3.196609
17,3.169170,2.719054,3.193741
18,3.167841,2.723356,3.190872
19,3.167529,2.731961,3.189438
20,3.166498,2.721922,3.190872
21,3.164834,2.688937,3.189438
22,3.163729,2.668860,3.186570
23,3.162824,2.677465,3.185136
24,3.161804,2.664558,3.185136
25,3.160749,2.655953,3.183702
26,3.159192,2.638744,3.182268
27,3.158221,2.640178,3.180834
28,3.157524,2.651651,3.179400
29,3.156488,2.628705,3.182268
30,3.155571,2.620101,3.179400
31,3.155773,2.678899,3.177966
32,3.155081,2.694674,3.177966
33,3.154159,2.707581,3.176532
34,3.153796,2.714751,3.176532
35,3.152941,2.724790,3.176532
36,3.152433,2.730526,3.176532
37,3.151892,2.744867,3.173663
38,3.151005,2.749170,3.172229
39,3.150142,2.740565,3.172229
40,3.149191,2.731961,3.170795
41,3.148297,2.734829,3.169361
42,3.147047,2.710449,3.167927
43,3.146080,2.690372,3.167927
44,3.144806,2.660255,3.167927
45,3.143982,2.671728,3.166493
46,3.143211,2.670294,3.165059
47,3.141912,2.574209,3.163625
48,3.141123,2.631573,3.165059
49,3.140644,2.657387,3.163625
50,3.139594,2.635876,3.160756
51,3.139235,2.687503,3.160756
52,3.138920,2.704713,3.159322
53,3.138335,2.709015,3.160756
54,3.137694,2.704713,3.159322
55,3.136840,2.693240,3.159322
56,3.136115,2.698976,3.156454
57,3.135819,2.694674,3.157888
58,3.135551,2.711883,3.160756
59,3.134318,2.704713,3.156454
60,3.133763,2.710449,3.155020
61,3.132638,2.676031,3.157888
62,3.131821,2.664558,3.153586
63,3.131207,2.683201,3.153586
64,3.131043,2.713317,3.152152
65,3.130194,2.696108,3.152152
66,3.129587,2.696108,3.150718
67,3.128772,2.700410,3.150718
68,3.127851,2.704713,3.149284
69,3.127195,2.701844,3.149284
70,3.126791,2.703279,3.149284
71,3.125897,2.701844,3.149284
72,3.125408,2.700410,3.147850
73,3.124627,2.696108,3.146415
74,3.124125,2.701844,3.146415
75,3.123727,2.698976,3.144981
76,3.123549,2.701844,3.144981
77,3.122660,2.698976,3.149284
78,3.122333,2.701844,3.143547
79,3.122087,2.706147,3.143547
80,3.121295,2.701844,3.144981
81,3.120455,2.704713,3.142113
82,3.119986,2.701844,3.140679
83,3.119260,2.701844,3.140679
84,3.118913,2.700410,3.139245
85,3.118301,2.697542,3.142113
86,3.117585,2.704713,3.140679
87,3.117144,2.704713,3.137811
88,3.117181,2.710449,3.137811
89,3.116356,2.706147,3.136377
90,3.115363,2.704713,3.136377
91,3.115055,2.703279,3.136377
92,3.114454,2.709015,3.136377
93,3.114291,2.719054,3.136377
94,3.113902,2.721922,3.133508
95,3.113206,2.717619,3.137811
96,3.112539,2.714751,3.132074
97,3.112111,2.711883,3.132074
98,3.111511,2.710449,3.132074
99,3.110822,2.710449,3.132074
100,3.110811,2.719054,3.130640
101,3.110049,2.723356,3.129206
102,3.109578,2.721922,3.134943
103,3.108858,2.726224,3.130640
104,3.108353,2.726224,3.129206
105,3.108052,2.724790,3.129206
106,3.107666,2.724790,3.127772
107,3.107379,2.727658,3.129206
108,3.106958,2.727658,3.129206
109,3.106437,2.726224,3.127772
110,3.105539,2.723356,3.126338
111,3.104923,2.717619,3.129206
112,3.104066,2.720488,3.124904
113,3.103657,2.716185,3.126338
114,3.103806,2.719054,3.126338
115,3.103701,2.710449,3.124904
116,3.102192,2.711883,3.123470
117,3.101630,2.710449,3.123470
118,3.101129,2.711883,3.123470
119,3.100603,2.711883,3.122036
120,3.100315,2.716185,3.120602
121,3.100041,2.714751,3.122036
122,3.099368,2.710449,3.124904
123,3.098796,2.710449,3.119168
124,3.098623,2.711883,3.122036
125,3.098188,2.713317,3.117733
126,3.097991,2.714751,3.120602
127,3.097447,2.710449,3.117733
128,3.096989,2.707581,3.119168
129,3.096608,2.706147,3.119168
130,3.096148,2.710449,3.117733
131,3.095399,2.706147,3.119168
132,3.094966,2.709015,3.114865
133,3.094993,2.706147,3.117733
134,3.094488,2.703279,3.116299
135,3.093614,2.700410,3.114865
136,3.093350,2.697542,3.113431
137,3.092969,2.696108,3.116299
138,3.092570,2.697542,3.114865
139,3.092036,2.693240,3.113431
140,3.091589,2.693240,3.116299
141,3.090972,2.693240,3.111997
142,3.090742,2.693240,3.111997
143,3.090203,2.694674,3.111997
144,3.090101,2.696108,3.111997
145,3.089627,2.696108,3.110563
146,3.089200,2.696108,3.111997
147,3.088722,2.694674,3.110563
148,3.088594,2.693240,3.109129
149,3.088076,2.693240,3.110563
150,3.087299,2.693240,3.109129
151,3.086967,2.694674,3.107695
152,3.086840,2.696108,3.109129
153,3.085933,2.693240,3.107695
154,3.085578,2.691806,3.106261
155,3.085077,2.690372,3.106261
156,3.084584,2.688937,3.106261
157,3.084221,2.688937,3.104826
158,3.083863,2.687503,3.107695
159,3.083273,2.687503,3.104826
