EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/01 01:58:57,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
0,2.909647,2.810836,2.926998
1,2.90978,2.809402,2.926998
2,2.909778,2.809402,2.928432
3,2.90981,2.809402,2.928432
4,2.909614,2.807968,2.926998
5,2.909736,2.809402,2.929866
6,2.910174,2.809402,2.926998
7,2.909826,2.809402,2.9313
8,2.909531,2.809402,2.928432
9,2.909488,2.807968,2.929866
10,2.909832,2.809402,2.926998
11,2.909571,2.809402,2.926998
12,2.90942,2.810836,2.928432
13,2.909629,2.810836,2.926998
14,2.909438,2.809402,2.928432
15,2.909146,2.807968,2.926998
16,2.909442,2.807968,2.928432
17,2.909394,2.809402,2.928432
18,2.909628,2.809402,2.928432
19,2.909381,2.809402,2.926998
20,2.909455,2.806534,2.926998
21,2.909723,2.810836,2.928432
22,2.909658,2.809402,2.928432
23,2.909605,2.809402,2.928432
24,2.909609,2.807968,2.926998
25,2.909554,2.810836,2.926998
26,2.909414,2.810836,2.926998
27,2.909696,2.809402,2.928432
28,2.909629,2.810836,2.926998
29,2.909695,2.807968,2.926998
30,2.909756,2.809402,2.926998
31,2.90974,2.809402,2.928432
32,2.909509,2.810836,2.926998
33,2.909656,2.807968,2.928432
34,2.909707,2.810836,2.926998
35,2.909274,2.810836,2.926998
36,2.909493,2.810836,2.928432
37,2.909856,2.809402,2.928432
38,2.909364,2.809402,2.926998
39,2.909694,2.805099,2.928432
40,2.909131,2.809402,2.925564
41,2.909348,2.809402,2.928432
42,2.909319,2.809402,2.928432
43,2.909363,2.810836,2.926998
44,2.909455,2.807968,2.926998
45,2.90934,2.809402,2.926998
46,2.909255,2.810836,2.928432
47,2.909303,2.806534,2.926998
48,2.909572,2.810836,2.928432
49,2.909571,2.809402,2.928432
50,2.909719,2.807968,2.929866
51,2.909598,2.810836,2.928432
52,2.9093,2.807968,2.928432
53,2.909407,2.806534,2.926998
54,2.909309,2.810836,2.926998
