EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 172800/172800,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/06 09:23:31,,,
,,,
"V1: 0.500000, 1.406250",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
0,2.842427,2.356226,3.189438
1,2.825967,2.35049,3.163625
2,2.820414,2.35766,3.14785
3,2.816085,2.356226,3.137811
4,2.814505,2.360528,3.132074
5,2.812907,2.369133,3.12347
6,2.812445,2.37487,3.116299
7,2.811592,2.380606,3.111997
8,2.814086,2.393513,3.110563
9,2.814442,2.400683,3.101958
10,2.814333,2.404986,3.09909
11,2.814644,2.410722,3.096222
12,2.814642,2.417892,3.09192
13,2.814924,2.420761,3.090485
14,2.814932,2.426497,3.086183
15,2.814873,2.430799,3.084749
16,2.814643,2.435102,3.080447
17,2.814119,2.435102,3.076144
18,2.813853,2.440838,3.073276
19,2.813592,2.443706,3.068974
20,2.813405,2.446574,3.070408
21,2.81297,2.448009,3.068974
22,2.812395,2.450877,3.061803
23,2.812134,2.453745,3.060369
24,2.811497,2.455179,3.058935
25,2.811052,2.459481,3.053199
26,2.810393,2.459481,3.053199
27,2.809566,2.459481,3.050331
28,2.809543,2.463784,3.047462
29,2.809099,2.465218,3.044594
30,2.808763,2.468086,3.04316
31,2.808013,2.468086,3.041726
32,2.807209,2.470954,3.041726
33,2.806491,2.470954,3.038858
34,2.805718,2.473822,3.037424
35,2.804835,2.472388,3.031687
36,2.804191,2.473822,3.033121
37,2.803356,2.475256,3.030253
38,2.802905,2.475256,3.028819
39,2.802687,2.478125,3.027385
40,2.801729,2.479559,3.024517
41,2.801586,2.478125,3.024517
42,2.800866,2.480993,3.021649
43,2.800093,2.479559,3.01878
44,2.7991,2.479559,3.01878
45,2.798833,2.482427,3.015912
46,2.798398,2.483861,3.015912
47,2.797977,2.483861,3.014478
48,2.797541,2.485295,3.014478
49,2.797114,2.483861,3.010176
50,2.796157,2.486729,3.010176
51,2.795664,2.483861,3.007308
52,2.795325,2.486729,3.008742
53,2.794626,2.488163,3.007308
54,2.793877,2.486729,3.004439
