EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 51175/51840"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/07/12 06:25:07"

"V1: 1.000000, 1.562500"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
0,3.172118
1,3.154514
2,3.141685
3,3.131832
4,3.123626
5,3.117002
6,3.111082
7,3.106149
8,3.102116
9,3.098527
10,3.095390
11,3.092464
12,3.089742
13,3.087234
14,3.084350
15,3.082188
16,3.079905
17,3.077468
18,3.075117
19,3.072744
20,3.070371
21,3.068071
22,3.065658
23,3.063477
24,3.061102
25,3.058869
26,3.056825
27,3.054852
28,3.052217
29,3.050195
30,3.047977
31,3.045921
32,3.044286
33,3.042430
34,3.040486
35,3.038633
36,3.037256
37,3.035279
38,3.033395
39,3.031456
40,3.029569
41,3.027766
42,3.026186
43,3.024651
44,3.023266
45,3.021729
46,3.020120
47,3.018849
48,3.017234
49,3.015940
50,3.014711
51,3.013274
52,3.011774
53,3.010576
54,3.009700
55,3.008131
56,3.007016
57,3.005684
58,3.004447
59,3.003114
60,3.001968
61,3.000919
62,2.999988
63,2.998809
64,2.997741
65,2.996522
66,2.995513
67,2.994061
68,2.993125
69,2.992357
70,2.991021
71,2.990159
72,2.989103
73,2.988064
74,2.987174
75,2.986123
76,2.985136
77,2.984153
78,2.982999
79,2.982010
80,2.981296
81,2.980464
82,2.979425
83,2.978453
84,2.977896
85,2.976972
86,2.975812
87,2.974747
88,2.973706
89,2.973310
90,2.972403
91,2.971456
92,2.970406
93,2.969717
94,2.968988
95,2.968368
96,2.967284
97,2.966440
98,2.965522
99,2.964963
100,2.964500
101,2.963593
102,2.962733
103,2.962080
104,2.961106
105,2.960296
106,2.959798
107,2.958892
108,2.958068
109,2.956925
110,2.956228
111,2.955654
112,2.955178
113,2.954520
114,2.953523
115,2.952950
116,2.952383
117,2.951368
118,2.950520
119,2.949676
120,2.948980
121,2.948513
122,2.947676
123,2.946965
124,2.946353
125,2.945737
126,2.944871
127,2.944003
128,2.943348
129,2.942751
130,2.942405
131,2.941692
132,2.940811
133,2.940255
134,2.939535
135,2.938980
136,2.938436
137,2.937756
138,2.937218
139,2.936448
140,2.935726
141,2.935048
142,2.934564
143,2.934061
144,2.933306
145,2.932705
146,2.932226
147,2.931569
148,2.930986
149,2.930732
150,2.930135
151,2.929458
152,2.928864
153,2.928514
154,2.928144
155,2.927580
156,2.927171
157,2.926604
158,2.925648
159,2.925077
160,2.924374
161,2.923908
162,2.923257
163,2.922588
164,2.922287
165,2.921772
166,2.921366
167,2.920975
168,2.920534
169,2.919793
170,2.919334
171,2.919023
172,2.918168
173,2.917493
174,2.916993
175,2.916469
176,2.915856
177,2.915499
178,2.915003
179,2.914484
180,2.914013
181,2.913372
182,2.913231
183,2.912719
184,2.912155
185,2.911744
186,2.911112
187,2.910634
188,2.909942
189,2.909459
190,2.909090
191,2.908640
192,2.908186
193,2.907719
194,2.906976
195,2.906543
196,2.906480
197,2.905704
198,2.905410
199,2.904914
200,2.904430
201,2.903736
202,2.903312
203,2.902795
204,2.902583
205,2.902153
206,2.902029
207,2.901520
208,2.900677
209,2.900086
210,2.900232
211,2.899628
212,2.899155
213,2.898832
214,2.898303
215,2.897643
216,2.897251
217,2.896645
218,2.895997
219,2.895733
220,2.895601
221,2.895262
222,2.894778
223,2.894081
224,2.893850
225,2.893590
226,2.893180
227,2.892580
228,2.892307
229,2.891717
230,2.891299
231,2.890737
232,2.890126
233,2.890006
234,2.889523
235,2.889199
236,2.888688
237,2.888241
238,2.887839
239,2.887584
240,2.887078
241,2.886592
242,2.886349
243,2.885981
244,2.885500
245,2.885064
246,2.884804
247,2.884361
248,2.884274
249,2.883846
250,2.883481
251,2.883119
252,2.882736
253,2.882638
254,2.882228
255,2.881926
256,2.881699
257,2.881241
258,2.880908
259,2.880532
260,2.880162
261,2.880063
262,2.879912
263,2.879214
264,2.878985
265,2.878653
266,2.878105
267,2.877800
268,2.877596
269,2.877064
270,2.876973
271,2.876886
272,2.876433
273,2.876092
274,2.875509
275,2.875310
276,2.875134
277,2.874933
278,2.874554
279,2.874024
280,2.873863
281,2.873784
282,2.873634
283,2.873368
284,2.872985
285,2.872726
286,2.872583
287,2.872053
288,2.872031
289,2.871650
290,2.871539
291,2.871186
292,2.870975
293,2.870789
294,2.870469
295,2.870332
296,2.870095
297,2.869834
298,2.869673
299,2.869930
300,2.869682
301,2.869164
302,2.868938
303,2.868792
304,2.868859
305,2.868448
306,2.868170
307,2.867709
308,2.867497
309,2.867393
310,2.867118
311,2.866838
312,2.866679
313,2.866476
314,2.866092
315,2.865827
316,2.865559
317,2.865314
318,2.864944
319,2.864786
320,2.864561
321,2.864352
322,2.863927
323,2.863908
324,2.863605
325,2.863542
326,2.863236
327,2.863033
328,2.862410
329,2.862175
330,2.862079
331,2.861776
332,2.861537
333,2.861213
334,2.860814
335,2.860602
336,2.860177
337,2.860062
338,2.859966
339,2.859331
340,2.859220
341,2.858817
342,2.858646
343,2.858390
344,2.858270
345,2.858497
346,2.858150
347,2.857755
348,2.857426
349,2.857188
350,2.856623
351,2.856524
352,2.856429
353,2.856035
354,2.855787
355,2.855410
356,2.855332
357,2.855105
358,2.854988
359,2.854631
360,2.854285
361,2.854114
362,2.854186
363,2.853769
364,2.853721
365,2.853267
366,2.853073
367,2.853047
368,2.853063
369,2.852398
370,2.852057
371,2.852155
372,2.852045
373,2.851718
374,2.851567
375,2.851403
376,2.851077
377,2.850781
378,2.850421
379,2.850003
380,2.849843
381,2.849751
382,2.849635
383,2.849275
384,2.849222
385,2.848733
386,2.848306
387,2.848408
388,2.848139
389,2.848077
390,2.848156
391,2.848007
392,2.847772
393,2.847394
394,2.847489
