EL34143A exported datalog,
File type: CSV,
File version: 1,
,
Per division: 5.000000,
Offset: -3.111111,
Trigger position: 0,
Sample interval: 0.49999872,
Number of sample: 172800/172800,
Trigger sample: 0,
Number of pre-trigger sample: 0,
Date: 2025/03/03 03:23:09,
,
"V1: 0.500000, 1.340000",
"I1: 1.000000, 0.000000",
"P1: 5.000000, 0.000000",
,
Power Enabled:,None
,
Enable:,Volt avg 1
0,2.994836
1,2.994634
2,2.994504
3,2.994185
4,2.99402
5,2.993559
6,2.993384
7,2.992982
8,2.99252
9,2.99264
10,2.992308
11,2.991817
12,2.991624
13,2.991632
14,2.991429
15,2.990898
16,2.990907
17,2.990561
18,2.990248
19,2.990069
20,2.98989
21,2.989351
22,2.989547
23,2.989248
24,2.989343
25,2.989037
26,2.988798
27,2.988552
28,2.987974
29,2.987715
30,2.987151
31,2.987437
32,2.987239
33,2.98682
34,2.986698
35,2.985997
36,2.985986
37,2.985862
38,2.985529
39,2.985071
40,2.984897
41,2.984476
42,2.984053
43,2.984042
44,2.983923
45,2.983791
46,2.983439
47,2.983471
48,2.983163
49,2.98314
50,2.982962
51,2.982525
52,2.982374
53,2.982296
54,2.982031
55,2.981645
56,2.981456
57,2.981476
58,2.98108
59,2.980862
60,2.980831
61,2.980419
62,2.980114
63,2.979808
64,2.979277
65,2.979124
66,2.979008
67,2.97859
68,2.97816
69,2.978165
70,2.978008
71,2.977899
72,2.977526
73,2.977468
74,2.977099
75,2.976752
76,2.976763
77,2.976724
78,2.97657
79,2.975844
80,2.976063
81,2.975678
82,2.975352
83,2.975012
84,2.974807
85,2.974308
86,2.974528
87,2.974262
88,2.974291
89,2.974077
90,2.97387
91,2.973605
92,2.973261
93,2.9731
94,2.972357
95,2.97245
96,2.972251
97,2.972502
98,2.972358
99,2.971911
100,2.971629
101,2.971547
102,2.97116
103,2.971394
104,2.971184
105,2.97128
106,2.970934
107,2.970822
108,2.970493
109,2.970367
110,2.970097
111,2.969759
112,2.96978
113,2.969752
114,2.969744
115,2.969423
116,2.969363
117,2.969081
118,2.96924
119,2.968805
120,2.968621
121,2.968255
122,2.968057
123,2.967904
124,2.967494
125,2.967324
126,2.967247
127,2.967124
128,2.967064
129,2.96681
130,2.966569
131,2.966397
132,2.966364
133,2.966384
134,2.9659
135,2.965681
136,2.965379
137,2.965137
138,2.964916
139,2.964897
140,2.964693
141,2.96467
