EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: -3.111111"
"Trigger position: 0"
"Sample interval: 0.49999872"
"Number of sample: 172800/172800"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/04 04:03:13"

"V1: 0.500000, 1.220000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
0,2.446092
1,2.446417
2,2.446213
3,2.446383
4,2.446247
5,2.445949
6,2.445708
7,2.445514
8,2.445632
9,2.445769
10,2.445990
11,2.446124
12,2.445938
13,2.445703
14,2.445662
15,2.445683
16,2.445675
17,2.445680
18,2.445603
19,2.445841
20,2.445946
21,2.446001
22,2.445656
23,2.445830
24,2.445412
25,2.445468
26,2.445830
27,2.445941
28,2.446013
29,2.446116
30,2.446024
31,2.446044
32,2.445762
33,2.445887
34,2.445912
35,2.445918
36,2.446090
37,2.445790
38,2.445677
39,2.445745
40,2.445627
41,2.445538
42,2.445486
43,2.445514
44,2.445648
45,2.445587
46,2.445449
47,2.445741
48,2.445697
49,2.445634
50,2.445808
51,2.445784
52,2.445485
53,2.445635
54,2.445567
55,2.445486
56,2.445443
57,2.446109
58,2.445911
59,2.445716
60,2.446191
61,2.446104
62,2.445796
63,2.445684
64,2.445811
65,2.445808
66,2.445789
67,2.446012
68,2.445931
69,2.445707
70,2.445611
71,2.445714
72,2.445893
73,2.446054
74,2.446196
75,2.445864
76,2.445843
77,2.445865
78,2.445966
79,2.445967
80,2.445730
81,2.445550
82,2.445801
83,2.445816
84,2.445768
85,2.445436
86,2.445507
87,2.445384
88,2.445600
89,2.445685
90,2.445576
91,2.445879
92,2.445712
93,2.445740
94,2.445665
95,2.445598
96,2.445546
97,2.445768
98,2.445941
99,2.445963
100,2.445978
101,2.446445
102,2.445757
103,2.445896
104,2.445986
105,2.445757
106,2.445557
107,2.445430
108,2.445530
109,2.445700
110,2.445713
111,2.445838
112,2.445489
113,2.445654
114,2.445823
115,2.445742
116,2.445853
117,2.445771
118,2.445679
119,2.445690
120,2.445784
121,2.445838
122,2.445773
123,2.446006
124,2.445803
125,2.445824
126,2.445771
127,2.445702
128,2.445486
129,2.445357
130,2.445178
131,2.445330
132,2.445433
133,2.445304
134,2.445330
135,2.445498
136,2.445591
137,2.445640
138,2.445342
139,2.445424
140,2.445304
141,2.445309
142,2.445793
143,2.445548
144,2.445422
145,2.445115
146,2.445517
147,2.445648
148,2.445676
149,2.445644
150,2.445797
151,2.445680
152,2.445552
153,2.445547
154,2.445589
155,2.445487
156,2.445501
157,2.445421
158,2.445207
159,2.445291
160,2.445544
161,2.445363
162,2.445310
163,2.445504
164,2.445455
165,2.445491
166,2.445300
167,2.445036
168,2.445006
169,2.445235
170,2.445504
171,2.445281
172,2.445217
173,2.445154
174,2.444940
175,2.445102
176,2.445425
177,2.445415
178,2.445169
179,2.445328
180,2.445298
181,2.445262
182,2.445038
183,2.445114
184,2.445298
185,2.445370
186,2.445345
187,2.445372
188,2.445567
189,2.445728
190,2.445561
191,2.445469
192,2.445468
193,2.445540
194,2.445608
195,2.445248
196,2.445161
197,2.444968
198,2.445178
199,2.445205
200,2.445093
201,2.445153
202,2.445242
203,2.445258
204,2.445019
205,2.444923
206,2.445100
207,2.444869
208,2.444921
209,2.444893
210,2.444957
211,2.444894
212,2.445008
213,2.445084
214,2.444946
215,2.444982
216,2.444771
217,2.445033
218,2.444990
219,2.444936
220,2.444819
221,2.444686
222,2.444731
223,2.444743
224,2.444804
225,2.444950
226,2.444861
227,2.444800
228,2.444942
229,2.445082
230,2.444896
231,2.444861
232,2.444799
233,2.444995
234,2.444401
235,2.444414
236,2.444414
237,2.444999
238,2.445077
239,2.445171
240,2.445178
241,2.445082
242,2.445205
243,2.445161
244,2.445128
245,2.444617
246,2.444753
247,2.444717
248,2.444840
249,2.444823
250,2.444707
251,2.444622
252,2.444822
253,2.444825
254,2.444771
255,2.444883
256,2.444942
257,2.444910
258,2.444778
259,2.444694
260,2.444686
261,2.444725
262,2.444448
263,2.444677
264,2.444318
265,2.444266
266,2.444649
267,2.444399
268,2.444934
269,2.444904
270,2.444557
271,2.444705
272,2.444787
273,2.444575
274,2.444695
275,2.444618
276,2.444814
277,2.444850
278,2.444800
279,2.444671
280,2.444503
281,2.444886
282,2.444592
283,2.444617
284,2.444653
285,2.444497
286,2.444409
287,2.444300
288,2.444568
289,2.444669
290,2.444292
291,2.444395
292,2.444546
293,2.444578
294,2.444473
295,2.444598
296,2.444723
297,2.444434
298,2.444507
299,2.444228
300,2.444389
301,2.444240
302,2.444489
303,2.444762
304,2.444547
305,2.444527
306,2.444591
307,2.444534
308,2.444328
309,2.444227
310,2.444528
311,2.444625
312,2.444642
313,2.444424
314,2.444777
315,2.444883
316,2.444569
317,2.444334
318,2.444419
319,2.444526
320,2.444658
321,2.444394
322,2.444469
323,2.444424
324,2.444487
325,2.444454
326,2.444495
327,2.444334
328,2.444009
329,2.444087
330,2.444159
331,2.444307
332,2.444364
333,2.444204
334,2.443954
335,2.444317
336,2.444186
337,2.443877
338,2.444109
339,2.444141
340,2.444206
341,2.444252
342,2.444367
343,2.444237
344,2.444426
345,2.444242
346,2.444265
347,2.444365
348,2.444497
349,2.444495
350,2.444517
351,2.444844
352,2.444524
353,2.444520
354,2.444449
355,2.444210
356,2.444306
357,2.444283
358,2.444129
359,2.444133
360,2.444060
361,2.444211
362,2.444043
363,2.443930
364,2.443628
365,2.443890
366,2.444086
367,2.444203
368,2.444252
369,2.444284
370,2.443891
371,2.443900
372,2.443975
373,2.444077
374,2.444078
375,2.443972
376,2.444191
377,2.443873
378,2.443630
379,2.443631
380,2.443553
381,2.443755
382,2.443976
383,2.443893
384,2.444259
385,2.444430
386,2.443910
387,2.444177
388,2.444046
389,2.444230
390,2.444094
391,2.444186
392,2.444135
393,2.444172
394,2.443963
