EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 5.00000763,,,
Number of sample: 120960/120960,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/15 10:07:30,,,
,,,
"V1: 1.000000, 1.600000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
0,3.222981,2.878239,3.252539
1,3.215142,2.871068,3.238198
2,3.211187,2.872502,3.23533
3,3.20826,2.869634,3.231027
4,3.205264,2.8682,3.228159
5,3.203325,2.866766,3.229593
6,3.201256,2.865332,3.225291
7,3.199256,2.863898,3.223857
8,3.19701,2.863898,3.222423
9,3.195302,2.862463,3.220989
10,3.193787,2.862463,3.216686
11,3.192661,2.861029,3.215252
12,3.191332,2.861029,3.215252
13,3.190117,2.861029,3.215252
14,3.188454,2.856727,3.21095
15,3.186957,2.856727,3.21095
16,3.185194,2.858161,3.206648
17,3.184163,2.855293,3.206648
18,3.182661,2.858161,3.205214
19,3.1817,2.855293,3.205214
20,3.180439,2.853859,3.203779
21,3.179156,2.852425,3.202345
22,3.17799,2.852425,3.200911
23,3.1766,2.852425,3.199477
24,3.17506,2.850991,3.198043
25,3.173813,2.850991,3.196609
26,3.172669,2.846689,3.195175
27,3.171624,2.849557,3.195175
28,3.170525,2.846689,3.193741
29,3.169337,2.848123,3.192307
30,3.168217,2.84382,3.190872
31,3.167332,2.846689,3.190872
32,3.165859,2.84382,3.189438
33,3.164499,2.840952,3.188004
34,3.163325,2.842386,3.18657
35,3.16268,2.840952,3.185136
36,3.161593,2.838084,3.185136
37,3.160271,2.840952,3.183702
38,3.159571,2.840952,3.183702
39,3.15846,2.838084,3.182268
40,3.157415,2.840952,3.180834
41,3.156691,2.838084,3.180834
42,3.155673,2.83665,3.177966
43,3.154214,2.835216,3.176532
44,3.153218,2.835216,3.176532
45,3.152234,2.833781,3.175097
46,3.151199,2.832347,3.172229
47,3.15035,2.830913,3.172229
48,3.149494,2.830913,3.172229
49,3.148563,2.830913,3.170795
50,3.147617,2.832347,3.169361
51,3.146924,2.830913,3.169361
52,3.146014,2.829479,3.167927
53,3.145131,2.826611,3.169361
54,3.144109,2.828045,3.167927
