EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:33:13"

"V1: 1.000000, 1.600000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
0,3.264609,2.141111,3.294128
1,3.258096,2.159755,3.286957
2,3.255784,2.409288,3.285523
3,3.254021,2.445140,3.282655
4,3.252426,2.460916,3.278352
5,3.250319,2.465218,3.276918
6,3.248811,2.472388,3.278352
7,3.247680,2.475256,3.275484
8,3.245929,2.476691,3.272616
9,3.244792,2.476691,3.271182
10,3.243672,2.475256,3.271182
11,3.242245,2.470954,3.272616
12,3.240930,2.472388,3.268314
13,3.239881,2.472388,3.268314
14,3.238944,2.470954,3.266880
15,3.237756,2.466652,3.266880
16,3.236568,2.470954,3.264012
17,3.235483,2.472388,3.262578
18,3.234022,2.470954,3.259709
19,3.232789,2.470954,3.259709
20,3.231678,2.476691,3.258275
21,3.230701,2.478125,3.256841
22,3.229663,2.480993,3.255407
23,3.228325,2.486729,3.255407
24,3.226914,2.486729,3.255407
25,3.226087,2.489598,3.252539
26,3.224677,2.489598,3.249671
27,3.223891,2.486729,3.249671
28,3.223196,2.491032,3.249671
29,3.221857,2.489598,3.249671
30,3.220412,2.489598,3.246802
31,3.219512,2.489598,3.245368
32,3.218334,2.486729,3.245368
33,3.217500,2.488163,3.242500
34,3.216888,2.488163,3.242500
35,3.215498,2.486729,3.242500
36,3.214370,2.488163,3.241066
37,3.213802,2.488163,3.242500
38,3.212192,2.485295,3.238198
39,3.211109,2.485295,3.238198
40,3.210223,2.486729,3.236764
41,3.209058,2.485295,3.235330
42,3.208055,2.480993,3.235330
43,3.207483,2.485295,3.233896
44,3.206372,2.485295,3.232461
45,3.205185,2.485295,3.231027
46,3.204297,2.483861,3.232461
47,3.203295,2.483861,3.229593
48,3.202529,2.483861,3.228159
49,3.201720,2.482427,3.228159
50,3.200470,2.485295,3.226725
51,3.199818,2.479559,3.226725
52,3.199002,2.482427,3.225291
53,3.197874,2.480993,3.225291
54,3.197359,2.479559,3.222423
55,3.196396,2.478125,3.222423
56,3.195332,2.479559,3.220989
57,3.194371,2.478125,3.220989
58,3.193675,2.478125,3.219554
59,3.192669,2.473822,3.220989
60,3.191914,2.476691,3.218120
61,3.191088,2.479559,3.216686
62,3.189885,2.476691,3.216686
63,3.189094,2.475256,3.215252
64,3.188456,2.475256,3.215252
65,3.187398,2.475256,3.213818
66,3.186781,2.475256,3.213818
67,3.186234,2.473822,3.212384
68,3.184980,2.473822,3.210950
69,3.183992,2.472388,3.210950
70,3.183122,2.475256,3.209516
71,3.182371,2.470954,3.208082
72,3.181610,2.472388,3.208082
73,3.180936,2.473822,3.206648
74,3.179905,2.473822,3.206648
75,3.179307,2.470954,3.203779
76,3.178561,2.473822,3.208082
77,3.177441,2.470954,3.202345
78,3.176544,2.473822,3.202345
79,3.176347,2.470954,3.202345
80,3.175435,2.470954,3.202345
81,3.174866,2.472388,3.199477
82,3.174415,2.472388,3.199477
83,3.173602,2.470954,3.200911
84,3.172860,2.472388,3.199477
85,3.172190,2.469520,3.198043
86,3.171227,2.468086,3.198043
87,3.170416,2.469520,3.195175
88,3.169839,2.468086,3.195175
89,3.168784,2.468086,3.193741
90,3.167955,2.465218,3.193741
91,3.167483,2.468086,3.196609
92,3.166934,2.466652,3.193741
93,3.166135,2.468086,3.192307
94,3.165296,2.466652,3.192307
95,3.164331,2.466652,3.190872
96,3.163669,2.465218,3.188004
97,3.163709,2.465218,3.190872
98,3.162708,2.465218,3.188004
99,3.162101,2.465218,3.188004
100,3.161451,2.460916,3.186570
101,3.160856,2.465218,3.188004
102,3.159878,2.465218,3.186570
103,3.159612,2.460916,3.185136
