EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:51:14"

"V1: 0.500000, 1.440000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
0,2.893810,2.443706,2.915525
1,2.893649,2.443706,2.916959
2,2.893671,2.443706,2.916959
3,2.893796,2.443706,2.916959
4,2.893833,2.443706,2.916959
5,2.893957,2.445140,2.916959
6,2.893856,2.440838,2.915525
7,2.893858,2.443706,2.915525
8,2.893926,2.446574,2.916959
9,2.893721,2.443706,2.916959
10,2.893628,2.442272,2.916959
11,2.893709,2.446574,2.916959
12,2.893923,2.443706,2.915525
13,2.893791,2.443706,2.916959
14,2.893696,2.443706,2.916959
15,2.893610,2.439404,2.915525
16,2.893305,2.440838,2.916959
17,2.893535,2.442272,2.916959
18,2.893896,2.442272,2.915525
19,2.893711,2.443706,2.916959
20,2.893613,2.442272,2.916959
21,2.893754,2.443706,2.916959
22,2.893836,2.443706,2.915525
23,2.893519,2.443706,2.915525
24,2.893655,2.442272,2.916959
25,2.893753,2.442272,2.916959
26,2.893637,2.445140,2.916959
27,2.894003,2.445140,2.916959
28,2.893627,2.445140,2.915525
29,2.893686,2.443706,2.915525
30,2.893773,2.445140,2.916959
31,2.893450,2.443706,2.918393
32,2.893466,2.442272,2.915525
33,2.893466,2.440838,2.918393
34,2.893473,2.443706,2.916959
35,2.893717,2.442272,2.916959
36,2.893601,2.445140,2.915525
37,2.893328,2.443706,2.916959
38,2.893542,2.443706,2.915525
39,2.893808,2.442272,2.916959
40,2.893538,2.445140,2.915525
41,2.893631,2.437970,2.918393
42,2.893629,2.443706,2.916959
43,2.893361,2.443706,2.914091
44,2.893439,2.440838,2.915525
45,2.893735,2.442272,2.916959
46,2.893600,2.442272,2.915525
47,2.894100,2.443706,2.915525
48,2.893984,2.442272,2.918393
49,2.893587,2.445140,2.918393
50,2.893543,2.442272,2.915525
51,2.893860,2.442272,2.916959
52,2.893725,2.443706,2.916959
53,2.893694,2.442272,2.916959
54,2.893603,2.443706,2.916959
55,2.893329,2.442272,2.915525
56,2.893653,2.442272,2.915525
57,2.893581,2.440838,2.915525
58,2.893414,2.442272,2.914091
59,2.893349,2.443706,2.915525
60,2.893514,2.442272,2.918393
61,2.893352,2.442272,2.916959
62,2.893295,2.440838,2.915525
63,2.893480,2.442272,2.915525
64,2.893089,2.442272,2.915525
65,2.893242,2.440838,2.916959
66,2.893745,2.445140,2.916959
67,2.893290,2.442272,2.916959
68,2.893511,2.442272,2.918393
69,2.893373,2.443706,2.915525
70,2.893452,2.442272,2.915525
71,2.893617,2.442272,2.916959
72,2.893296,2.442272,2.914091
73,2.893164,2.442272,2.915525
74,2.893357,2.442272,2.915525
75,2.893489,2.442272,2.915525
76,2.893565,2.443706,2.915525
77,2.893555,2.442272,2.916959
78,2.894063,2.443706,2.916959
79,2.893851,2.440838,2.915525
80,2.893871,2.443706,2.916959
81,2.893852,2.443706,2.916959
82,2.893509,2.440838,2.915525
83,2.893703,2.443706,2.916959
84,2.893532,2.442272,2.915525
85,2.893605,2.440838,2.916959
86,2.893665,2.443706,2.916959
87,2.893820,2.440838,2.916959
88,2.893659,2.440838,2.916959
89,2.893541,2.443706,2.915525
90,2.893623,2.442272,2.916959
91,2.893394,2.442272,2.915525
92,2.893677,2.442272,2.916959
93,2.893661,2.442272,2.915525
94,2.893506,2.442272,2.915525
95,2.893712,2.443706,2.916959
96,2.893848,2.442272,2.916959
97,2.893647,2.443706,2.915525
98,2.893588,2.437970,2.916959
99,2.893789,2.439404,2.915525
100,2.893205,2.440838,2.915525
101,2.893018,2.440838,2.915525
102,2.893249,2.437970,2.915525
103,2.893047,2.439404,2.915525
104,2.893126,2.440838,2.915525
105,2.893483,2.440838,2.915525
106,2.893522,2.440838,2.916959
107,2.893334,2.442272,2.916959
108,2.893409,2.443706,2.915525
109,2.893578,2.442272,2.916959
110,2.893239,2.442272,2.915525
111,2.893179,2.442272,2.916959
112,2.893217,2.439404,2.918393
113,2.893459,2.440838,2.916959
114,2.893590,2.442272,2.916959
115,2.893559,2.442272,2.916959
116,2.893381,2.442272,2.915525
117,2.893356,2.442272,2.916959
118,2.893457,2.443706,2.916959
119,2.893371,2.442272,2.915525
120,2.893462,2.443706,2.915525
121,2.893566,2.439404,2.916959
122,2.893352,2.439404,2.915525
123,2.893267,2.442272,2.916959
124,2.893311,2.442272,2.915525
125,2.893475,2.442272,2.916959
126,2.893554,2.440838,2.918393
127,2.893229,2.442272,2.916959
128,2.893286,2.443706,2.916959
129,2.893551,2.440838,2.915525
130,2.893403,2.442272,2.918393
131,2.893437,2.443706,2.916959
132,2.893596,2.442272,2.915525
133,2.893647,2.443706,2.918393
134,2.893819,2.442272,2.916959
135,2.893677,2.442272,2.918393
136,2.893556,2.439404,2.918393
137,2.893100,2.442272,2.916959
138,2.893337,2.440838,2.915525
139,2.893615,2.443706,2.916959
140,2.893455,2.437970,2.915525
141,2.893564,2.442272,2.915525
142,2.893544,2.442272,2.916959
143,2.893322,2.439404,2.915525
144,2.893757,2.442272,2.915525
145,2.893651,2.442272,2.915525
146,2.893467,2.442272,2.915525
147,2.893739,2.442272,2.916959
148,2.893708,2.442272,2.916959
149,2.893631,2.442272,2.915525
150,2.893443,2.437970,2.916959
151,2.893137,2.443706,2.915525
152,2.893475,2.440838,2.915525
153,2.893593,2.442272,2.916959
154,2.893221,2.440838,2.916959
155,2.892977,2.439404,2.915525
156,2.893390,2.439404,2.916959
157,2.893322,2.440838,2.919827
158,2.893723,2.443706,2.916959
159,2.893832,2.440838,2.916959
160,2.893732,2.442272,2.915525
161,2.893569,2.440838,2.915525
162,2.893528,2.442272,2.915525
163,2.893286,2.440838,2.915525
164,2.893754,2.443706,2.918393
165,2.893939,2.443706,2.916959
166,2.893749,2.440838,2.915525
167,2.893337,2.439404,2.915525
168,2.893450,2.443706,2.916959
169,2.893387,2.439404,2.915525
170,2.893309,2.437970,2.914091
171,2.893489,2.437970,2.916959
172,2.893317,2.440838,2.915525
