EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:47:44"

"V1: 0.500000, 1.421875"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
0,2.856193,2.085181,2.891145
1,2.856081,2.082313,2.892580
2,2.856330,2.082313,2.892580
3,2.856529,2.085181,2.891145
4,2.856349,2.082313,2.892580
5,2.856113,2.083747,2.892580
6,2.856180,2.082313,2.894014
7,2.855919,2.083747,2.892580
8,2.856288,2.083747,2.891145
9,2.856318,2.085181,2.895448
10,2.856105,2.085181,2.892580
11,2.856389,2.083747,2.892580
12,2.856646,2.082313,2.892580
13,2.856546,2.085181,2.891145
14,2.856652,2.083747,2.892580
15,2.856429,2.083747,2.892580
16,2.856351,2.085181,2.892580
17,2.856104,2.082313,2.891145
18,2.855845,2.085181,2.892580
19,2.855920,2.083747,2.892580
20,2.855853,2.080879,2.892580
21,2.855818,2.082313,2.891145
22,2.855720,2.083747,2.891145
23,2.855675,2.082313,2.891145
24,2.855819,2.082313,2.891145
25,2.855634,2.082313,2.892580
26,2.855965,2.082313,2.891145
27,2.856017,2.082313,2.891145
28,2.856123,2.083747,2.892580
29,2.856258,2.083747,2.894014
30,2.856072,2.083747,2.891145
31,2.856175,2.082313,2.892580
32,2.856543,2.085181,2.892580
33,2.856608,2.083747,2.894014
34,2.856635,2.083747,2.894014
35,2.856533,2.082313,2.892580
36,2.856945,2.085181,2.892580
37,2.856950,2.085181,2.894014
38,2.856993,2.082313,2.892580
39,2.856620,2.083747,2.892580
40,2.856417,2.085181,2.891145
41,2.856396,2.082313,2.892580
42,2.856472,2.083747,2.894014
43,2.856210,2.085181,2.892580
44,2.856215,2.082313,2.891145
45,2.856203,2.085181,2.892580
46,2.856278,2.083747,2.892580
