EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 51723/51846"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/07/29 01:28:06"

"V1: 2.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
0,3.213081
1,3.209090
2,3.203517
3,3.197038
4,3.190711
5,3.185471
6,3.180735
7,3.175267
8,3.170554
9,3.167922
10,3.164994
11,3.161284
12,3.157176
13,3.153175
14,3.149337
15,3.145635
16,3.142444
17,3.138488
18,3.135312
19,3.131971
20,3.129152
21,3.126678
22,3.124330
23,3.121302
24,3.116886
25,3.113583
26,3.111013
27,3.108292
28,3.105975
29,3.103776
30,3.102467
31,3.099991
32,3.096853
33,3.093741
34,3.091195
35,3.088783
36,3.086000
37,3.082872
38,3.080003
39,3.078548
40,3.077662
41,3.075331
42,3.072959
43,3.070447
44,3.067451
45,3.065286
46,3.063199
47,3.061013
48,3.059683
49,3.057928
50,3.057367
51,3.056610
52,3.053760
53,3.051019
54,3.049564
55,3.048342
56,3.047825
57,3.046409
58,3.044962
59,3.043412
60,3.041712
61,3.039850
62,3.037665
63,3.037353
64,3.036075
65,3.034961
66,3.034032
67,3.033309
68,3.032927
69,3.031849
70,3.030054
71,3.028639
72,3.026678
73,3.025590
74,3.025625
75,3.024923
76,3.023713
77,3.022428
78,3.021854
79,3.021640
80,3.020835
81,3.019704
82,3.019173
83,3.018811
84,3.018053
85,3.016917
86,3.015998
87,3.014946
88,3.013307
89,3.011813
90,3.010659
91,3.009804
92,3.009129
93,3.008036
94,3.007154
95,3.006472
96,3.005660
97,3.005105
98,3.004171
99,3.002945
100,3.001643
101,3.000498
102,2.999603
103,2.998950
104,2.998042
105,2.997140
106,2.996202
107,2.995414
108,2.994330
109,2.993474
110,2.992598
111,2.991426
112,2.990812
113,2.990113
114,2.989652
115,2.988753
116,2.988018
117,2.987639
118,2.987171
119,2.986212
120,2.985474
121,2.984830
122,2.983846
123,2.982819
124,2.981935
125,2.981357
126,2.980698
127,2.979803
128,2.978980
129,2.978161
130,2.977445
131,2.976887
132,2.976053
133,2.975416
134,2.974857
135,2.974275
136,2.973623
137,2.973016
138,2.972579
139,2.972579
140,2.971907
141,2.971276
142,2.970598
143,2.969775
144,2.969481
145,2.969137
146,2.968445
147,2.967881
148,2.967558
149,2.966719
150,2.966313
151,2.965604
152,2.964921
153,2.964410
154,2.963900
155,2.963593
156,2.963032
157,2.962664
158,2.962386
159,2.961777
160,2.961238
161,2.960689
162,2.960381
163,2.959441
164,2.958823
165,2.958320
166,2.957956
167,2.957269
168,2.956703
169,2.955690
170,2.955384
171,2.955219
172,2.954491
173,2.953882
174,2.953346
175,2.952631
176,2.951944
177,2.951584
178,2.951021
179,2.950676
180,2.950146
181,2.949488
182,2.948818
183,2.948174
184,2.947798
185,2.947490
186,2.946670
187,2.946117
188,2.945801
189,2.945150
190,2.944586
191,2.944224
192,2.943671
193,2.943306
194,2.943040
195,2.942372
196,2.941636
197,2.941069
198,2.940450
199,2.939997
200,2.939483
201,2.938864
202,2.938320
203,2.937770
204,2.937375
205,2.937071
206,2.936625
207,2.935998
208,2.935372
209,2.934943
210,2.934628
211,2.934444
212,2.933911
213,2.933556
214,2.933227
215,2.932652
216,2.932374
217,2.931978
218,2.931691
219,2.931184
220,2.930787
221,2.930454
222,2.930256
223,2.929740
224,2.929244
225,2.928779
226,2.928652
227,2.928224
228,2.927869
229,2.927409
230,2.926833
231,2.926526
232,2.926125
233,2.925745
234,2.925236
235,2.924623
236,2.924358
237,2.923956
238,2.923448
239,2.923043
240,2.922808
241,2.922320
242,2.922009
243,2.921525
244,2.921214
245,2.920789
246,2.920238
247,2.919956
248,2.919431
249,2.918972
250,2.918727
251,2.918442
252,2.917921
253,2.917665
254,2.917188
255,2.916743
256,2.916414
257,2.915773
258,2.915413
259,2.915066
260,2.914799
261,2.914629
262,2.914151
263,2.914066
264,2.913666
265,2.913270
266,2.912821
267,2.912210
268,2.912190
269,2.911684
270,2.911319
271,2.911166
272,2.910934
273,2.910644
274,2.910195
275,2.909953
276,2.909535
277,2.909264
278,2.908766
279,2.908498
280,2.908158
281,2.907569
282,2.907264
283,2.907148
284,2.906763
285,2.906442
286,2.906098
287,2.905830
288,2.905489
289,2.905193
290,2.904582
291,2.904199
292,2.904061
293,2.903466
294,2.903392
295,2.902808
296,2.902665
297,2.902394
298,2.902256
299,2.901808
300,2.901410
301,2.901189
302,2.900674
303,2.900416
304,2.900123
305,2.899809
306,2.899698
307,2.899270
308,2.899107
309,2.898578
310,2.898545
311,2.897998
312,2.897759
313,2.897283
314,2.897120
315,2.896606
316,2.896565
317,2.896198
318,2.895779
319,2.895656
320,2.895346
321,2.895062
322,2.894719
323,2.894228
324,2.894050
325,2.893540
326,2.893141
327,2.892937
328,2.892780
329,2.892688
330,2.892496
331,2.892303
332,2.892245
333,2.891902
334,2.891756
335,2.891317
336,2.891015
337,2.890577
338,2.890721
339,2.890543
340,2.890136
341,2.889731
342,2.889660
343,2.889315
344,2.888982
345,2.888711
346,2.888715
347,2.888425
348,2.888008
349,2.887751
350,2.887426
351,2.887041
352,2.886867
353,2.886781
354,2.886376
355,2.886261
356,2.885904
357,2.885596
358,2.885445
359,2.885170
360,2.884968
361,2.884560
362,2.884548
363,2.884142
364,2.883787
365,2.883690
366,2.883401
367,2.882960
368,2.882988
369,2.882639
370,2.882334
371,2.882131
372,2.882242
373,2.881972
374,2.881776
375,2.881598
376,2.881426
377,2.880933
378,2.880436
379,2.880183
380,2.880143
381,2.879932
382,2.879425
383,2.879148
384,2.878901
385,2.878904
386,2.878803
387,2.878437
388,2.878304
389,2.877920
390,2.877729
391,2.877466
392,2.877187
393,2.877082
394,2.876868
