EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/02/28 13:50:20,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
0,3.160823,2.958548,3.18657
1,3.161025,2.959982,3.18657
2,3.161568,2.961416,3.188004
3,3.161587,2.964285,3.188004
4,3.161645,2.962851,3.188004
5,3.161385,2.962851,3.18657
6,3.161781,2.964285,3.188004
7,3.161962,2.961416,3.18657
8,3.162125,2.961416,3.188004
9,3.16186,2.962851,3.18657
10,3.161943,2.962851,3.188004
11,3.162153,2.964285,3.188004
12,3.162461,2.962851,3.189438
13,3.162423,2.962851,3.188004
14,3.162811,2.962851,3.188004
15,3.162651,2.964285,3.188004
16,3.163001,2.964285,3.190872
17,3.163097,2.964285,3.189438
18,3.162977,2.961416,3.189438
19,3.163318,2.957114,3.189438
20,3.163209,2.961416,3.190872
21,3.163396,2.962851,3.189438
22,3.163332,2.962851,3.192307
23,3.163661,2.959982,3.189438
24,3.163819,2.961416,3.193741
25,3.164184,2.964285,3.189438
26,3.1642,2.964285,3.189438
27,3.164004,2.965719,3.190872
28,3.164215,2.962851,3.189438
29,3.164414,2.964285,3.190872
30,3.164487,2.965719,3.192307
31,3.164762,2.967153,3.189438
32,3.164633,2.964285,3.190872
33,3.164699,2.967153,3.190872
34,3.165023,2.965719,3.192307
35,3.164902,2.967153,3.189438
36,3.164827,2.964285,3.189438
37,3.164943,2.962851,3.190872
38,3.164809,2.962851,3.192307
39,3.165109,2.967153,3.189438
40,3.165327,2.967153,3.190872
41,3.165207,2.964285,3.192307
42,3.16521,2.965719,3.190872
43,3.165456,2.964285,3.192307
44,3.165191,2.965719,3.190872
45,3.165407,2.968587,3.193741
46,3.165473,2.965719,3.192307
47,3.165696,2.967153,3.193741
48,3.165577,2.965719,3.190872
49,3.16569,2.965719,3.192307
50,3.165909,2.967153,3.192307
51,3.165567,2.965719,3.190872
52,3.165658,2.967153,3.192307
53,3.165666,2.967153,3.192307
54,3.165908,2.968587,3.190872
